method-a,method-b,verdict
org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/ToStringConverter;Lorg/joda/convert/FromStringConverter;)V,org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/StringConverter;)V,no-break-pass (direct)
org.joda.convert.StringConvert.registerMethodConstructor(Ljava/lang/Class;Ljava/lang/String;)V,org.joda.convert.StringConvert.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,sometimes-true-spec
org.joda.convert.StringConvert.registerMethodConstructor(Ljava/lang/Class;Ljava/lang/String;)V,org.joda.convert.StringConvert.findFromStringConstructorByType(Ljava/lang/Class;)Ljava/lang/reflect/Constructor;,no-break-pass (direct)
org.joda.convert.TypedStringConverter.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,org.joda.convert.EnumStringConverterFactory$EnumStringConverter.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Enum;,spurious-spec
org.joda.convert.TypedStringConverter.convertToString(Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.EnumStringConverterFactory$EnumStringConverter.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Enum;,spurious-spec
org.joda.convert.TypedStringConverter.convertToString(Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.EnumStringConverterFactory$EnumStringConverter.convertToString(Ljava/lang/Enum;)Ljava/lang/String;,spurious-spec
org.joda.convert.TypedStringConverter.convertToString(Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.TypedStringConverter.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,spurious-spec
org.joda.convert.AnnotationStringConverterFactory.findFromStringConstructor(Ljava/lang/Class;Ljava/lang/reflect/Method;)Lorg/joda/convert/MethodConstructorStringConverter;,org.joda.convert.AnnotationStringConverterFactory.eliminateEnumSubclass(Ljava/lang/Class;)Ljava/lang/Class;,spurious-spec
org.joda.convert.RenameHandler.loadFromClasspath()V,org.joda.convert.RenameHandler.getEnumRenames(Ljava/lang/Class;)Ljava/util/Map;,sometimes-true-spec
org.joda.convert.RenameHandler.loadRenameFile(Ljava/net/URL;)Ljava/util/List;,org.joda.convert.RenameHandler.getEnumRenames(Ljava/lang/Class;)Ljava/util/Map;,sometimes-true-spec
org.joda.convert.RenameHandler.parseRenameFile(Ljava/util/List;Ljava/net/URL;)V,org.joda.convert.RenameHandler.getEnumRenames(Ljava/lang/Class;)Ljava/util/Map;,sometimes-true-spec
org.joda.convert.StringConvert.convertToString(Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.StringConvert.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,spurious-spec
org.joda.convert.StringConvert.convertToString(Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.StringConvert.findConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,spurious-spec
