method-a,method-b,verdict
org.apache.commons.exec.Executor.execute(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;)I,org.apache.commons.exec.DefaultExecutor.executeInternal(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Ljava/io/File;Lorg/apache/commons/exec/ExecuteStreamHandler;)I,no-break-pass (direct)
org.apache.commons.exec.Executor.execute(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;)I,org.apache.commons.exec.DefaultExecutor.getExceptionCaught()Ljava/io/IOException;,no-break-pass (indirect)
org.apache.commons.exec.Executor.execute(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;)I,org.apache.commons.exec.DefaultExecutor.isFailure(I)Z,no-break-pass (indirect)
org.apache.commons.exec.Executor.execute(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;)I,org.apache.commons.exec.DefaultExecutor.launch(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Ljava/io/File;)Ljava/lang/Process;,no-break-pass (indirect)
org.apache.commons.exec.Executor.execute(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;)I,org.apache.commons.exec.Executor.isFailure(I)Z,spurious-spec
org.apache.commons.exec.Executor.execute(Lorg/apache/commons/exec/CommandLine;Lorg/apache/commons/exec/ExecuteResultHandler;)V,org.apache.commons.exec.DefaultExecutor.createThread(Ljava/lang/Runnable;Ljava/lang/String;)Ljava/lang/Thread;,no-break-pass (indirect)
org.apache.commons.exec.Executor.execute(Lorg/apache/commons/exec/CommandLine;Lorg/apache/commons/exec/ExecuteResultHandler;)V,org.apache.commons.exec.DefaultExecutor.execute(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Lorg/apache/commons/exec/ExecuteResultHandler;)V,no-break-pass (direct)
org.apache.commons.exec.Executor.execute(Lorg/apache/commons/exec/CommandLine;Lorg/apache/commons/exec/ExecuteResultHandler;)V,org.apache.commons.exec.DefaultExecutor.getExecutorThread()Ljava/lang/Thread;,no-break-pass (indirect)
org.apache.commons.exec.Executor.execute(Lorg/apache/commons/exec/CommandLine;Lorg/apache/commons/exec/ExecuteResultHandler;)V,org.apache.commons.exec.Executor.isFailure(I)Z,spurious-spec
org.apache.commons.exec.Executor.setExitValue(I)V,org.apache.commons.exec.DefaultExecutor.setExitValues([I)V,no-break-pass (direct)
org.apache.commons.exec.Executor.setStreamHandler(Lorg/apache/commons/exec/ExecuteStreamHandler;)V,org.apache.commons.exec.Executor.getWorkingDirectory()Ljava/io/File;,spurious-spec
org.apache.commons.exec.launcher.CommandLauncher.exec(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Ljava/io/File;)Ljava/lang/Process;,org.apache.commons.exec.launcher.CommandLauncher.isFailure(I)Z,spurious-spec
org.apache.commons.exec.ProcessDestroyer.add(Ljava/lang/Process;)Z,org.apache.commons.exec.ShutdownHookProcessDestroyer.addShutdownHook()V,no-break-pass (direct)
org.apache.commons.exec.ProcessDestroyer.add(Ljava/lang/Process;)Z,org.apache.commons.exec.ShutdownHookProcessDestroyer.removeShutdownHook()V,true-spec
org.apache.commons.exec.ProcessDestroyer.remove(Ljava/lang/Process;)Z,org.apache.commons.exec.ShutdownHookProcessDestroyer.removeShutdownHook()V,no-break-pass (direct)
org.apache.commons.exec.TimeoutObserver.timeoutOccured(Lorg/apache/commons/exec/Watchdog;)V,org.apache.commons.exec.ExecuteWatchdog.cleanUp()V,no-break-pass (direct)
org.apache.commons.exec.DefaultExecuteResultHandler.waitFor(J)V,org.apache.commons.exec.ExecuteResultHandler.onProcessComplete(I)V,spurious-spec
org.apache.commons.exec.DefaultExecuteResultHandler.waitFor(J)V,org.apache.commons.exec.ExecuteResultHandler.onProcessFailed(Lorg/apache/commons/exec/ExecuteException;)V,spurious-spec
org.apache.commons.exec.DefaultExecuteResultHandler.waitFor()V,org.apache.commons.exec.ExecuteResultHandler.onProcessFailed(Lorg/apache/commons/exec/ExecuteException;)V,spurious-spec
org.apache.commons.exec.DefaultExecutor.createThread(Ljava/lang/Runnable;Ljava/lang/String;)Ljava/lang/Thread;,org.apache.commons.exec.DefaultExecutor.closeProcessStreams(Ljava/lang/Process;)V,no-break-pass (indirect)
org.apache.commons.exec.DefaultExecutor.createThread(Ljava/lang/Runnable;Ljava/lang/String;)Ljava/lang/Thread;,org.apache.commons.exec.DefaultExecutor.executeInternal(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Ljava/io/File;Lorg/apache/commons/exec/ExecuteStreamHandler;)I,no-break-pass (indirect)
org.apache.commons.exec.DefaultExecutor.createThread(Ljava/lang/Runnable;Ljava/lang/String;)Ljava/lang/Thread;,org.apache.commons.exec.DefaultExecutor.getExceptionCaught()Ljava/io/IOException;,no-break-pass (indirect)
org.apache.commons.exec.DefaultExecutor.createThread(Ljava/lang/Runnable;Ljava/lang/String;)Ljava/lang/Thread;,org.apache.commons.exec.DefaultExecutor.isFailure(I)Z,no-break-pass (indirect)
org.apache.commons.exec.DefaultExecutor.createThread(Ljava/lang/Runnable;Ljava/lang/String;)Ljava/lang/Thread;,org.apache.commons.exec.DefaultExecutor.launch(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Ljava/io/File;)Ljava/lang/Process;,no-break-pass (indirect)
org.apache.commons.exec.DefaultExecutor.execute(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Lorg/apache/commons/exec/ExecuteResultHandler;)V,org.apache.commons.exec.DefaultExecutor.closeProcessStreams(Ljava/lang/Process;)V,no-break-pass (indirect)
org.apache.commons.exec.DefaultExecutor.execute(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Lorg/apache/commons/exec/ExecuteResultHandler;)V,org.apache.commons.exec.DefaultExecutor.executeInternal(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Ljava/io/File;Lorg/apache/commons/exec/ExecuteStreamHandler;)I,no-break-pass (indirect)
org.apache.commons.exec.DefaultExecutor.execute(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Lorg/apache/commons/exec/ExecuteResultHandler;)V,org.apache.commons.exec.DefaultExecutor.getExceptionCaught()Ljava/io/IOException;,no-break-pass (indirect)
