id,share-state(tool),original-dsi,updated-dsi,verdict,manual-tags,a-set-b-set,a-set-b-get,a-get-b-set,a-get-b-get,used-jdk?
00250,no,lv-ls,ls,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;UNRELATED_STATEFUL_METHODS;MULTIPLE_PERTURBATIONS;EXPECTED_EXCEPTION;WEAK_ORACLE;UNRELATED_STATELESS_METHODS;RQ,0,0,0,0,no
00251,no,u,ls,spurious-spec,ONE_STATELESS_METHOD;ASM_ERROR;UNRELATED_STATEFUL_METHODS,0,0,0,0,no
00252,no,u,ls,spurious-spec,ONE_STATELESS_METHOD;ASM_ERROR;UNRELATED_STATEFUL_METHODS,0,0,0,0,yes
00253,yes,u-e,u-e,spurious-spec,DYNAMIC_DISPATCH;STATE_POLLUTION_BY_DSI;CONNECTION_DOES_NOT_NECESSITATE_ORDERING;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,1,no
00254,yes,u-e,u-e,true-spec,STATE_POLLUTION_BY_DSI;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,1,1,no
00255,no,lv-e,ls,spurious-spec,STATE_POLLUTION_BY_DSI;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;UNRELATED_STATEFUL_METHODS;RQ,0,0,0,0,no
00256,no,lv-e,ls,spurious-spec,STATE_POLLUTION_BY_DSI;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;RQ;ONE_STATELESS_METHOD,0,0,0,0,no
00257,yes,u-e,u-e,spurious-spec,STATE_POLLUTION_BY_DSI;CONNECTION_DOES_NOT_NECESSITATE_ORDERING;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;TRUE_SPEC_WITH_CALLER,0,0,0,1,no
00258,no,ls-e,ls,spurious-spec,DEFAULT_VALUE_SAME_AS_RETURN;DYNAMIC_DISPATCH;UNRELATED_STATEFUL_METHODS;STATE_POLLUTION_BY_DSI;WEAK_ORACLE;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION,0,0,0,0,no
00259,no,ls-e,ls,spurious-spec,DEFAULT_VALUE_SAME_AS_RETURN;UNRELATED_STATEFUL_METHODS;STATE_POLLUTION_BY_DSI;WEAK_ORACLE;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION,0,0,0,0,no
00261,no,ls-e,ls,spurious-spec,DEFAULT_VALUE_SAME_AS_RETURN;UNRELATED_STATEFUL_METHODS;STATE_POLLUTION_BY_DSI;WEAK_ORACLE;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION,0,0,0,0,no
00262,no,ls-e,ls,spurious-spec,DEFAULT_VALUE_SAME_AS_RETURN;FUTURE_WORK_TODO;DYNAMIC_DISPATCH;ONE_STATELESS_METHOD;STATE_POLLUTION_BY_DSI;WEAK_ORACLE;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION,0,0,0,0,no
00263,no,ls-e,ls,spurious-spec,DEFAULT_VALUE_SAME_AS_RETURN;FUTURE_WORK_TODO;ONE_STATELESS_METHOD;STATE_POLLUTION_BY_DSI;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION,0,0,0,0,no
00264,no,ls-e,ls,spurious-spec,DEFAULT_VALUE_SAME_AS_RETURN;FUTURE_WORK_TODO;DYNAMIC_DISPATCH;ONE_STATELESS_METHOD;STATE_POLLUTION_BY_DSI;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION,0,0,0,0,no
00265,yes,u,u,spurious-spec,ASM_ERROR;CONNECTION_DOES_NOT_NECESSITATE_ORDERING,0,0,1,1,no
00266,yes,u,u,spurious-spec,ASM_ERROR;CONNECTION_DOES_NOT_NECESSITATE_ORDERING,0,0,0,1,no
00267,no,u-e,ls,spurious-spec,STATE_POLLUTION_BY_DSI;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;UNRELATED_STATEFUL_METHODS;TRUE_SPEC_WITH_CALLER,0,0,0,0,yes
