spec-id,method-a,method-b,tst,dsi-verdict,manual-verdict,tags
00210,org.apache.commons.codec.digest.DigestUtils.digestAsHex([B)Ljava/lang/String;,org.apache.commons.codec.digest.DigestUtils.digest(Ljava/nio/ByteBuffer;)[B,org.apache.commons.codec.digest.DigestUtilsTest#testSha224_FileAsHex,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00212,org.apache.commons.codec.digest.DigestUtils.digestAsHex([B)Ljava/lang/String;,org.apache.commons.codec.digest.DigestUtils.digestAsHex(Ljava/nio/ByteBuffer;)Ljava/lang/String;,org.apache.commons.codec.digest.DigestUtilsTest#testSha224_FileAsHex,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00215,org.apache.commons.codec.digest.PureJavaCrc32C.update([BII)V,org.apache.commons.codec.digest.PureJavaCrc32C.getValue()J,org.apache.commons.codec.digest.PureJavaCrc32CTest#testOnes,u,spurious-spec,METHOD_A_RETURNS_VOID;ASM_ERROR;CONNECTION_DOES_NOT_NECESSITATE_ORDERING
00281,org.apache.commons.codec.language.bm.Languages$LanguageSet.isSingleton()Z,org.apache.commons.codec.language.bm.Languages$LanguageSet.getAny()Ljava/lang/String;,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testInvalidLangIllegalArgumentException,u,spurious-spec,EXPECTED_EXCEPTION_NOT_THROWN;REPLACEMENT_TRIGGERS_CHECK_THAT_PREVENTS_B;DELAY_CAUSES_OUTPUT_CORRUPTION
00297,org.apache.commons.codec.net.BCodec.encode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.net.BCodec.decode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.net.BCodecTest#testBasicEncodeDecode,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00298,org.apache.commons.codec.net.BCodec.encode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.net.BCodec.decodeText(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.net.BCodecTest#testBasicEncodeDecode,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00302,org.apache.commons.codec.net.BCodec.encode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.net.RFC1522Codec.doDecoding([B)[B,org.apache.commons.codec.net.BCodecTest#testBasicEncodeDecode,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00305,org.apache.commons.codec.net.BCodec.encode(Ljava/lang/String;Ljava/nio/charset/Charset;)Ljava/lang/String;,org.apache.commons.codec.net.BCodec.decode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.net.BCodecTest#testBasicEncodeDecode,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00306,org.apache.commons.codec.net.BCodec.encode(Ljava/lang/String;Ljava/nio/charset/Charset;)Ljava/lang/String;,org.apache.commons.codec.net.BCodec.decodeText(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.net.BCodecTest#testBasicEncodeDecode,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00308,org.apache.commons.codec.net.BCodec.encode(Ljava/lang/String;Ljava/nio/charset/Charset;)Ljava/lang/String;,org.apache.commons.codec.net.RFC1522Codec.doDecoding([B)[B,org.apache.commons.codec.net.BCodecTest#testBasicEncodeDecode,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00311,org.apache.commons.codec.net.BCodec.encodeText(Ljava/lang/String;Ljava/nio/charset/Charset;)Ljava/lang/String;,org.apache.commons.codec.net.BCodec.decode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.net.BCodecTest#testBasicEncodeDecode,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00312,org.apache.commons.codec.net.BCodec.encodeText(Ljava/lang/String;Ljava/nio/charset/Charset;)Ljava/lang/String;,org.apache.commons.codec.net.BCodec.decodeText(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.net.BCodecTest#testBasicEncodeDecode,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00313,org.apache.commons.codec.net.BCodec.encodeText(Ljava/lang/String;Ljava/nio/charset/Charset;)Ljava/lang/String;,org.apache.commons.codec.net.RFC1522Codec.doDecoding([B)[B,org.apache.commons.codec.net.BCodecTest#testBasicEncodeDecode,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00316,org.apache.commons.codec.net.BCodec.getCharset()Ljava/nio/charset/Charset;,org.apache.commons.codec.net.BCodec.decode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.net.BCodecTest#testBasicEncodeDecode,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00317,org.apache.commons.codec.net.BCodec.getCharset()Ljava/nio/charset/Charset;,org.apache.commons.codec.net.BCodec.decodeText(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.net.BCodecTest#testBasicEncodeDecode,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00320,org.apache.commons.codec.net.BCodec.getCharset()Ljava/nio/charset/Charset;,org.apache.commons.codec.net.RFC1522Codec.doDecoding([B)[B,org.apache.commons.codec.net.BCodecTest#testBasicEncodeDecode,u,spurious-spec,ONE_STATELESS_METHOD;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00321,org.apache.commons.codec.net.BCodec.getCharset()Ljava/nio/charset/Charset;,org.apache.commons.codec.net.RFC1522Codec.doEncoding([B)[B,org.apache.commons.codec.net.BCodecTest#testBasicEncodeDecode,u,spurious-spec,ONE_STATELESS_METHOD;NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00325,org.apache.commons.codec.net.PercentCodec.containsSpace([B)Z,org.apache.commons.codec.net.PercentCodec.doEncode([BIZ)[B,org.apache.commons.codec.net.PercentCodecTest#testPercentEncoderDecoderWithPlusForSpace,u,spurious-spec,REPLACEMENT_TRIGGERS_CHECK_THAT_PREVENTS_B
