spec-id,method-a,method-b,tst,dsi-verdict,manual-verdict,tags
00241,org.apache.commons.exec.ExecuteWatchdog.setProcessNotStarted()V,org.apache.commons.exec.ExecuteWatchdog.stop()V,org.apache.commons.exec.issues.Exec34Test#testExec34_2,u,spurious-spec,INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;ONE_PURE_SETTER;GOOD_EXAMPLE
00243,org.apache.commons.exec.ExecuteWatchdog.setProcessNotStarted()V,org.apache.commons.exec.TimeoutObserver.timeoutOccured(Lorg/apache/commons/exec/Watchdog;)V,org.apache.commons.exec.issues.Exec34Test#testExec34_2,u,spurious-spec,INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;ONE_PURE_SETTER;GOOD_EXAMPLE
00245,org.apache.commons.exec.ExecuteWatchdog.start(Ljava/lang/Process;)V,org.apache.commons.exec.ExecuteWatchdog.cleanUp()V,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithProcessDestroyer,u,true-spec,INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE;MORE_COMPLEX_THAN_AB
00246,org.apache.commons.exec.ExecuteWatchdog.start(Ljava/lang/Process;)V,org.apache.commons.exec.ExecuteWatchdog.destroyProcess()V,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithProcessDestroyer,u,sometimes-true-spec,SOMETIMES_TRUE_SPEC;INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE
00247,org.apache.commons.exec.ExecuteWatchdog.start(Ljava/lang/Process;)V,org.apache.commons.exec.ExecuteWatchdog.ensureStarted()V,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithProcessDestroyer,u,true-spec,SUPPLEMENTARY_EVIDENCE_BY_JAVADOC;INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE
00248,org.apache.commons.exec.ExecuteWatchdog.start(Ljava/lang/Process;)V,org.apache.commons.exec.ExecuteWatchdog.isWatching()Z,org.apache.commons.exec.issues.Exec34Test#testExec34_2,u,spurious-spec,INSPECTION_TODO;METHOD_A_RETURNS_VOID;GOOD_EXAMPLE;CONCURRENCY
00249,org.apache.commons.exec.ExecuteWatchdog.start(Ljava/lang/Process;)V,org.apache.commons.exec.ExecuteWatchdog.killedProcess()Z,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithProcessDestroyer,u,spurious-spec,INSPECTION_TODO;ONE_STATELESS_METHOD;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE
00251,org.apache.commons.exec.ExecuteWatchdog.start(Ljava/lang/Process;)V,org.apache.commons.exec.ExecuteWatchdog.timeoutOccured(Lorg/apache/commons/exec/Watchdog;)V,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithProcessDestroyer,u,spurious-spec,CONNECTION_DOES_NOT_NECESSITATE_ORDERING;INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE
00254,org.apache.commons.exec.ExecuteWatchdog.stop()V,org.apache.commons.exec.ExecuteWatchdog.ensureStarted()V,org.apache.commons.exec.issues.Exec34Test#testExec34_2,u,spurious-spec,INSPECTION_TODO;METHOD_A_RETURNS_VOID;GOOD_EXAMPLE;CONCURRENCY
00255,org.apache.commons.exec.ExecuteWatchdog.stop()V,org.apache.commons.exec.ExecuteWatchdog.isWatching()Z,org.apache.commons.exec.issues.Exec34Test#testExec34_2,u,true-spec,INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE;MORE_COMPLEX_THAN_AB
00256,org.apache.commons.exec.ExecuteWatchdog.stop()V,org.apache.commons.exec.ExecuteWatchdog.killedProcess()Z,org.apache.commons.exec.issues.Exec34Test#testExec34_2,u,spurious-spec,INSPECTION_TODO;ONE_STATELESS_METHOD;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE
00257,org.apache.commons.exec.ExecuteWatchdog.timeoutOccured(Lorg/apache/commons/exec/Watchdog;)V,org.apache.commons.exec.ExecuteWatchdog.checkException()V,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithProcessDestroyer,u,spurious-spec,CONNECTION_DOES_NOT_NECESSITATE_ORDERING;SUPPLEMENTARY_EVIDENCE_BY_JAVADOC;INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE
00301,org.apache.commons.exec.Executor.setProcessDestroyer(Lorg/apache/commons/exec/ProcessDestroyer;)V,org.apache.commons.exec.DefaultExecutor.execute(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Lorg/apache/commons/exec/ExecuteResultHandler;)V,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithProcessDestroyer,u,sometimes-true-spec,METHOD_A_RETURNS_VOID;GOOD_EXAMPLE;CONCURRENCY;SOMETIMES_TRUE_SPEC
00307,org.apache.commons.exec.Executor.setProcessDestroyer(Lorg/apache/commons/exec/ProcessDestroyer;)V,org.apache.commons.exec.Executor.execute(Lorg/apache/commons/exec/CommandLine;Lorg/apache/commons/exec/ExecuteResultHandler;)V,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithProcessDestroyer,u,sometimes-true-spec,METHOD_A_RETURNS_VOID;GOOD_EXAMPLE;CONCURRENCY;SOMETIMES_TRUE_SPEC
00328,org.apache.commons.exec.Executor.setWatchdog(Lorg/apache/commons/exec/ExecuteWatchdog;)V,org.apache.commons.exec.DefaultExecutor.closeProcessStreams(Ljava/lang/Process;)V,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithProcessDestroyer,u,spurious-spec,INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;ONE_PURE_SETTER;GOOD_EXAMPLE
00330,org.apache.commons.exec.Executor.setWatchdog(Lorg/apache/commons/exec/ExecuteWatchdog;)V,org.apache.commons.exec.DefaultExecutor.executeInternal(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Ljava/io/File;Lorg/apache/commons/exec/ExecuteStreamHandler;)I,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithProcessDestroyer,u,sometimes-true-spec,SOMETIMES_TRUE_SPEC;INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE
00371,org.apache.commons.exec.ShutdownHookProcessDestroyer.isEmpty()Z,org.apache.commons.exec.ProcessDestroyer.add(Ljava/lang/Process;)Z,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithProcessDestroyer,u,spurious-spec,INSPECTION_TODO;ONE_STATELESS_METHOD;CONCURRENCY;GOOD_EXAMPLE;MORE_COMPLEX_THAN_AB
00372,org.apache.commons.exec.ShutdownHookProcessDestroyer.isEmpty()Z,org.apache.commons.exec.ProcessDestroyer.remove(Ljava/lang/Process;)Z,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithProcessDestroyer,u,spurious-spec,INSPECTION_TODO;ONE_STATELESS_METHOD;CONCURRENCY;GOOD_EXAMPLE;MORE_COMPLEX_THAN_AB
00373,org.apache.commons.exec.ShutdownHookProcessDestroyer.isEmpty()Z,org.apache.commons.exec.ShutdownHookProcessDestroyer.addShutdownHook()V,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithProcessDestroyer,u,spurious-spec,INSPECTION_TODO;GOOD_EXAMPLE;CONCURRENCY
